UserId,Date,FAttacker1,FAttacker2,FAttacker3,FAttacker4,FSpecial1,FSpecial2,Formation,EAttacker1,EAttacker2,EAttacker3,EAttacker4,ESpecial1,ESpecial2,Result,Note,Title,Link,Bv,Check
NoData,2024-12-30,Yuuka,Tsurugi,Cherino,Marina,Nagisa,Shiroko(SS),进攻,Yuuka,Mutsuki(NY),Marina,Hanako(SS),Shiroko(SS),Ayane(SS),胜利,,,,,0
NoData,2024-12-30,Yuuka,Tsurugi,Cherino,Marina,Nagisa,Shiroko(SS),进攻,Yuuka,Mutsuki(NY),Hanako(SS),Marina,Shiroko(SS),Ayane(SS),胜利,,,,,0
NoData,2024-12-30,Midori,Miyako(SS),Yuuka,Tsurugi,Shiroko(SS),Yuzu(MD),进攻,Yuuka,Mutsuki(NY),Marina,Hanako(SS),Mashiro,Shiroko(SS),胜利,,,,,0
NoData,2024-12-30,Tsurugi,Yuuka,Marina,Mika,Shiroko(SS),Mashiro,进攻,Yuuka,Mutsuki(NY),Marina,Hanako(SS),Shiroko(SS),Ayane(SS),胜利,,,,,0
NoData,2024-12-30,Tsurugi,Yuuka,Hoshino,Mika,Mashiro,Shiroko(SS),进攻,Yuuka,Mutsuki(NY),Marina,Hanako(SS),Mashiro,Shiroko(SS),胜利,,,,,0
NoData,2024-12-30,Yuuka,Tsurugi,Hoshino,Atsuko,Mashiro,Utaha,进攻,Yuuka,Mutsuki(NY),Marina,Hanako(SS),Shiroko(SS),Mashiro,胜利,,,,,0
NoData,2024-12-30,Yuuka,Tsurugi,Hoshino,Neru(BY),Utaha,Mashiro,进攻,Yuuka,Mutsuki(NY),Marina,Hanako(SS),Shiroko(SS),Mashiro,胜利,,,,,0
NoData,2024-12-30,Akane,Junko,Yuuka,Hoshino,Utaha,Mashiro,进攻,Yuuka,Mutsuki(NY),Marina,Hanako(SS),Mashiro,Shiroko(SS),胜利,,,,,0
NoData,2024-12-30,Yuuka,Tsurugi,Cherino,Marina,Nagisa,Shiroko(SS),进攻,Yuuka,Mutsuki(NY),Marina,Hanako(SS),Shiroko(SS),Ayane(SS),胜利,,,,,0
NoData,2024-12-30,Iori,Mika,Marina,Tsurugi,Shiroko(SS),Mashiro,进攻,Mutsuki(NY),Miyako(SS),Hanako(SS),Marina,Shiroko(SS),Ayane(SS),胜利,,,,,0
NoData,2024-12-30,Tsurugi,Yuuka,Marina,Mika,Shiroko(SS),Mashiro,进攻,Mutsuki(NY),Yuuka,Marina,Hanako(SS),Shiroko(SS),Ayane(SS),胜利,,,,,0
NoData,2024-12-30,Yuuka,Tsurugi,Atsuko,Hoshino,Shiroko(SS),Nagisa,进攻,Yuuka,Mutsuki(NY),Hanako(SS),Marina,Mashiro,Shiroko(SS),胜利,,,,,0
NoData,2024-12-30,Yuuka,Tsurugi,Cherino,Marina,Nagisa,Shiroko(SS),进攻,Yuuka,Mutsuki(NY),Hanako(SS),Marina,Shiroko(SS),Ayane(SS),胜利,,,,,0
NoData,2024-12-30,Yuuka,Tsurugi,Hoshino,Cherino,Mashiro,Shiroko(SS),进攻,Yuuka,Mutsuki(NY),Hanako(SS),Marina,Mashiro,Shiroko(SS),胜利,,,,,0
NoData,2024-12-30,Yuuka,Tsurugi,Marina,Mika,Ayane(SS),Shiroko(SS),进攻,Yuuka,Mutsuki(NY),Hanako(SS),Tsubaki,Mashiro,Shiroko(SS),胜利,,,,,0
NoData,2024-12-30,Momoi,Junko,Tsurugi,Yuuka,Mashiro,Shiroko(SS),进攻,Miyako(SS),Mutsuki(NY),Hanako(SS),Marina,Mashiro,Shiroko(SS),胜利,,,,,0
NoData,2024-12-30,Iori,Momoi,Tsurugi,Yuuka,Mashiro,Shiroko(SS),进攻,Miyako(SS),Mutsuki(NY),Hanako(SS),Marina,Mashiro,Shiroko(SS),胜利,,,,,0
NoData,2024-12-30,Junko,Momoi,Yuuka,Tsurugi,Mashiro,Shiroko(SS),进攻,Miyako(SS),Mutsuki(NY),Hanako(SS),Marina,Mashiro,Shiroko(SS),胜利,,,,,0
NoData,2024-12-31,Midori,Yuuka,Miyako(SS),Tsurugi,Mashiro(SS),Shiroko(SS),进攻,Hanako(SS),Yuuka,Atsuko,Mutsuki(NY),Mashiro,Shiroko(SS),胜利,,,,,0
